time, x, y, heading, vel_x, vel_y, vel_heading,
0.008, -1.99204e-09, -1.53147e-07, 0.00014498, 0, 0, 0, 
0.016, -1.37057e-09, 4.81393e-09, 0.000110752, 7.76845e-08, 1.97451e-05, -0.00427855, 
0.024, -1.63135e-09, -1.05059e-08, 8.67971e-05, -3.25975e-08, -1.91498e-06, -0.00299431, 
0.032, -1.40764e-09, -2.04038e-08, 6.85945e-05, 2.79637e-08, -1.23724e-06, -0.00227532, 
0.04, -1.06125e-09, -2.73075e-08, 5.44947e-05, 4.32988e-08, -8.62951e-07, -0.00176248, 
0.048, -7.77481e-10, -3.22959e-08, 4.35531e-05, 3.54708e-08, -6.23555e-07, -0.00136769, 
0.056, -6.43007e-10, -3.59249e-08, 3.51063e-05, 1.68092e-08, -4.53628e-07, -0.00105585, 
0.064, -4.94325e-10, -3.85562e-08, 2.86493e-05, 1.85853e-08, -3.28917e-07, -0.000807128, 
0.072, -4.45908e-10, -4.04499e-08, 2.37849e-05, 6.05212e-09, -2.36712e-07, -0.000608052, 
0.08, -4.24798e-10, -4.17989e-08, 2.01918e-05, 2.63875e-09, -1.68621e-07, -0.000449136, 
0.088, -3.90175e-10, -4.27474e-08, 1.7602e-05, 4.32787e-09, -1.18557e-07, -0.000323727, 
0.096, -4.62637e-10, -4.34031e-08, 1.57863e-05, -9.05778e-09, -8.19678e-08, -0.000226965, 
0.104, -4.06944e-10, -4.38465e-08, 1.45481e-05, 6.96168e-09, -5.54221e-08, -0.000154771, 
0.112, -4.66958e-10, -4.41372e-08, 1.37251e-05, -7.50179e-09, -3.63343e-08, -0.000102876, 
0.12, -4.40925e-10, -4.43192e-08, 1.31889e-05, 3.25418e-09, -2.27577e-08, -6.70264e-05, 
0.128, -4.50211e-10, -4.44251e-08, 1.28448e-05, -1.16078e-09, -1.32317e-08, -4.30051e-05, 
0.136, -4.6901e-10, -4.44784e-08, 1.26262e-05, -2.34987e-09, -6.66374e-09, -2.73341e-05, 
0.144, -4.61501e-10, -4.44963e-08, 1.24878e-05, 9.38638e-10, -2.2392e-09, -1.72933e-05, 
0.152, -4.91621e-10, -4.44911e-08, 1.24005e-05, -3.76502e-09, 6.46029e-10, -1.09195e-05, 
0.16, -5.11288e-10, -4.44716e-08, 1.23451e-05, -2.4584e-09, 2.43838e-09, -6.92037e-06, 
0.168, -5.14341e-10, -4.44439e-08, 1.23098e-05, -3.8158e-10, 3.46561e-09, -4.41238e-06, 
0.176, -5.28742e-10, -4.44122e-08, 1.22871e-05, -1.80017e-09, 3.96674e-09, -2.83491e-06, 
0.184, -5.31255e-10, -4.43792e-08, 1.22723e-05, -3.14036e-10, 4.11492e-09, -1.84901e-06, 
0.192, -5.33384e-10, -4.4347e-08, 1.22625e-05, -2.66136e-10, 4.03418e-09, -1.22382e-06, 
0.2, -5.42288e-10, -4.43165e-08, 1.22559e-05, -1.11305e-09, 3.81249e-09, -8.25187e-07, 
0.208, -5.46762e-10, -4.42884e-08, 1.22514e-05, -5.59215e-10, 3.51131e-09, -5.71137e-07, 
0.216, -5.50491e-10, -4.4263e-08, 1.22481e-05, -4.66132e-10, 3.17272e-09, -4.04162e-07, 
0.224, -5.51493e-10, -4.42404e-08, 1.22458e-05, -1.2528e-10, 2.82487e-09, -2.93457e-07, 
0.232, -5.55998e-10, -4.42205e-08, 1.22441e-05, -5.63138e-10, 2.48593e-09, -2.17064e-07, 
0.24, -5.62006e-10, -4.42032e-08, 1.22427e-05, -7.50936e-10, 2.16692e-09, -1.64605e-07, 
0.248, -5.60102e-10, -4.41882e-08, 1.22417e-05, 2.38007e-10, 1.87401e-09, -1.28662e-07, 
0.256, -5.61518e-10, -4.41753e-08, 1.22409e-05, -1.77013e-10, 1.60995e-09, -9.97169e-08, 
0.264, -5.62682e-10, -4.41643e-08, 1.22403e-05, -1.45495e-10, 1.37526e-09, -7.91949e-08, 
0.272, -5.62107e-10, -4.4155e-08, 1.22398e-05, 7.18212e-11, 1.16903e-09, -6.36576e-08, 
0.28, -5.64367e-10, -4.4147e-08, 1.22394e-05, -2.82537e-10, 9.89484e-10, -5.06441e-08, 
0.288, -5.6346e-10, -4.41404e-08, 1.2239e-05, 1.1341e-10, 8.34358e-10, -4.16786e-08, 
0.296, -5.65474e-10, -4.41348e-08, 1.22388e-05, -2.51701e-10, 7.01203e-10, -3.3109e-08, 
0.304, -5.65948e-10, -4.41301e-08, 1.22386e-05, -5.93434e-11, 5.87544e-10, -2.73357e-08, 
0.312, -5.66236e-10, -4.41261e-08, 1.22384e-05, -3.59129e-11, 4.90999e-10, -2.21799e-08, 
0.32, -5.67892e-10, -4.41229e-08, 1.22382e-05, -2.07055e-10, 4.09315e-10, -1.77626e-08, 
0.328, -5.66733e-10, -4.41201e-08, 1.22381e-05, 1.44838e-10, 3.40473e-10, -1.50005e-08, 
0.336, -5.66935e-10, -4.41179e-08, 1.2238e-05, -2.52389e-11, 2.82646e-10, -1.17334e-08, 
0.344, -5.67051e-10, -4.4116e-08, 1.22379e-05, -1.44045e-11, 2.34218e-10, -9.57268e-09, 
0.352, -5.67186e-10, -4.41144e-08, 1.22379e-05, -1.6977e-11, 1.93745e-10, -7.76428e-09, 
0.36, -5.67258e-10, -4.41132e-08, 1.22378e-05, -8.98007e-12, 1.60036e-10, -6.30355e-09, 
0.368, -5.67349e-10, -4.41121e-08, 1.22378e-05, -1.13036e-11, 1.31984e-10, -5.09218e-09, 
0.376, -5.67392e-10, -4.41112e-08, 1.22378e-05, -5.46622e-12, 1.08723e-10, -4.12287e-09, 
